"R Package","Dataset","Description","Doc","CSV"
"boot","downs.bc","Incidence of Down's Syndrome in British Columbia","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/downs.bc.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/downs.bc.csv"
"boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/ducks.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/ducks.csv"
"boot","fir","Counts of Balsam-fir Seedlings","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/fir.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/fir.csv"
"boot","frets","Head Dimensions in Brothers","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/frets.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/frets.csv"
"boot","grav","Acceleration Due to Gravity","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/grav.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/grav.csv"
"boot","gravity","Acceleration Due to Gravity","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/gravity.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/gravity.csv"
"boot","hirose","Failure Time of PET Film","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/hirose.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/hirose.csv"
"boot","islay","Jura Quartzite Azimuths on Islay","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/islay.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/islay.csv"
"boot","melanoma","Survival from Malignant Melanoma","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/melanoma.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/melanoma.csv"
"boot","motor","Data from a Simulated Motorcycle Accident","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/motor.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/motor.csv"
"boot","neuro","Neurophysiological Point Process Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/neuro.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/neuro.csv"
"boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/nitrofen.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/nitrofen.csv"
"boot","nodal","Nodal Involvement in Prostate Cancer","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/nodal.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/nodal.csv"
"boot","nuclear","Nuclear Power Station Construction Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/nuclear.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/nuclear.csv"
"boot","paulsen","Neurotransmission in Guinea Pig Brains","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/paulsen.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/paulsen.csv"
"boot","poisons","Animal Survival Times","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/poisons.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/poisons.csv"
"boot","polar","Pole Positions of New Caledonian Laterites","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/polar.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/polar.csv"
"boot","remission","Cancer Remission and Cell Activity","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/remission.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/remission.csv"
"boot","salinity","Water Salinity and River Discharge","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/salinity.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/salinity.csv"
"boot","survival","Survival of Rats after Radiation Doses","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/survival.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/survival.csv"
"boot","tau","Tau Particle Decay Modes","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/tau.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/tau.csv"
"boot","tuna","Tuna Sighting Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/tuna.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/tuna.csv"
"boot","urine","Urine Analysis Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/urine.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/urine.csv"
"car","AMSsurvey","American Math Society Survey Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/AMSsurvey.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/AMSsurvey.csv"
"car","Adler","Experimenter Expectations","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Adler.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Adler.csv"
"car","Angell","Moral Integration of American Cities","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Angell.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Angell.csv"
"car","Anscombe","U. S. State Public-School Expenditures","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Anscombe.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Anscombe.csv"
"car","Baumann","Methods of Teaching Reading Comprehension","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Baumann.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Baumann.csv"
"car","Bfox","Canadian Women's Labour-Force Participation","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Bfox.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Bfox.csv"
"car","Blackmoor","Exercise Histories of Eating-Disordered and Control Subjects","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Blackmoor.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Blackmoor.csv"
"car","Burt","Fraudulent Data on IQs of Twins Raised Apart","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Burt.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Burt.csv"
"car","CanPop","Canadian Population Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/CanPop.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/CanPop.csv"
"car","Chile","Voting Intentions in the 1988 Chilean Plebiscite","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Chile.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Chile.csv"
"car","Chirot","The 1907 Romanian Peasant Rebellion","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Chirot.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Chirot.csv"
"car","Cowles","Cowles and Davis's Data on Volunteering","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Cowles.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Cowles.csv"
"car","Davis","Self-Reports of Height and Weight","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Davis.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Davis.csv"
"car","DavisThin","Davis's Data on Drive for Thinness","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/DavisThin.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/DavisThin.csv"
"car","Depredations","Minnesota Wolf Depredation Data","https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/Depredations.html","https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/Depredations.csv"
